control,run,variant,pearson_ic,rank_ic_1,rank_ic_t,rank_ic_5,net_pct,sharpe,n_days
control2,set4_core7_seed42,single,0.012744729176588728,0.014245873301278869,2.810044559598671,0.022139154145297393,12.381756370936907,0.15617916719186942,1257
control2,set4_core7_seed42,ensemble,0.021256615986635478,0.02397814119669541,4.262330924979461,0.03007917072749832,40.38314218503255,0.446132003304446,1257
control2,set4_core7_seed43,single,0.013451065369805285,0.017364760526690812,3.5106989352262157,0.024291855608963468,0.7845234358983562,0.010759652325254433,1257
control2,set4_core7_seed43,ensemble,0.020194694670382134,0.02371057943751195,4.2673924126411436,0.02997280890561619,30.416002179521296,0.340581443002356,1257
control2,set4_core7_seed44,single,0.014886610434371518,0.01503185498003234,2.9721639725557254,0.02129741920710823,-8.371856499310566,-0.11155787305679432,1257
control2,set4_core7_seed44,ensemble,0.01828885317906014,0.021032819013602058,3.730566666191304,0.022330921993271836,6.008810239953206,0.06505659569580555,1257
control2,set4_v2_seed42,single,0.01275471115444247,0.017910104635536304,3.6210449645964977,0.014956547334135905,-36.47264975430215,-0.4683279781146296,1257
control2,set4_v2_seed42,ensemble,0.023819130817598615,0.026559605667642802,4.802499088924526,0.027327025877761518,43.298935606896855,0.5340221962943827,1257
control2,set4_v2_seed43,single,0.014053200257066615,0.01523822490562427,2.9767851817465965,0.015801538492491957,11.400236418090381,0.15685537154089865,1257
control2,set4_v2_seed43,ensemble,0.02006619133412681,0.024329814580054964,4.376190118500688,0.02931985002445781,44.76218242094169,0.5185129804700128,1257
control2,set4_v2_seed44,single,0.015350926303096929,0.016311792640860943,3.4015038438006893,0.013606374712694318,-16.33597268601326,-0.23503660667461287,1257
control2,set4_v2_seed44,ensemble,0.02523971558803455,0.02414456945847463,4.459289117399641,0.02403017303972614,56.931960540307216,0.718147623566986,1257
