suite,strategy,panel,seed,net_pct,sharpe,mdd_pct,turnover,cost_pct,n_days
40isl,sleeves_h5,set2,45,52.34088289437307,0.7552009951897315,21.91092261416623,0.2565120283909286,13.151978114649705,1251
40isl,rank_weight,set2,45,80.21790440109662,1.0859072501609621,23.67834741660911,0.1476001237955318,7.765970247994574,1251
40isl,banded15,set2,45,77.84997935023434,0.8282961889508259,29.29679675901639,0.4613376916196901,24.375246567025293,1251
40isl,banded25,set2,45,63.823697316885976,0.7105057589017434,28.680246001649618,0.19826193680005802,11.056877836067258,1251
40isl,beta_neutral,set2,45,42.73607865245747,0.6109850198225752,22.86149761370478,0.1647754554069696,7.914516840460718,1251
40isl,long_only,set2,45,112.05346886098351,0.872561672536701,48.82803039781093,0.06550037258094593,4.055638703569246,1251
40isl,sleeves_reg,set2,46,67.99128674126925,1.0909960642226078,16.9842551002198,0.14154054856662027,7.09262727706793,1251
40isl,sleeves_h5,set2,46,59.03117506716988,0.8794012274801817,20.429610910184145,0.27141095065301973,13.647392601408617,1251
40isl,rank_weight,set2,46,79.07996692687021,1.0964217307377322,21.027482168311447,0.1541050676233602,7.928016207255824,1251
40isl,banded15,set2,46,56.771796353818594,0.6109755290849586,29.8540855844096,0.564387106554545,29.005910094039947,1251
40isl,banded25,set2,46,76.33045559013479,0.8303355239264059,28.55389051870371,0.265569172882926,13.785040187235387,1251
40isl,beta_neutral,set2,46,37.18621805109289,0.5596423067573095,17.415795700460396,0.16781612018164693,8.025655925579889,1251
40isl,long_only,set2,46,110.83260097990153,0.8570359062252358,47.01470836205878,0.06985734536178317,4.203790939276498,1251
40isl,sleeves_reg,set2,47,93.46686391031574,1.3562902104911483,21.02958702328682,0.12544287140752014,6.388175634575667,1251
40isl,sleeves_h5,set2,47,85.83143513956884,1.1355804689478035,27.4149257023939,0.23667525498213293,12.101199666362174,1251
40isl,rank_weight,set2,47,99.99718927898506,1.258739854952564,26.372998805604965,0.13834231455324697,7.359872432902722,1251
40isl,banded15,set2,47,80.78991232060181,0.8582188327853679,33.26808206595156,0.3328280844095249,18.16569903593808,1251
40isl,banded25,set2,47,76.38078974095158,0.8628828399334562,29.565385008642725,0.1315219898402893,7.418888711845353,1251
40isl,beta_neutral,set2,47,75.04528285762298,0.9972600075770849,21.07869060355685,0.15107199004065172,7.254672033369288,1251
40isl,long_only,set2,47,132.5015906879556,1.015835409357053,46.48073554628455,0.06267497966967835,3.8856795740990178,1251
40isl,sleeves_reg,set2,48,75.5466845674751,1.1904701761979228,14.601128905660795,0.1326255740917742,6.661982822128809,1251
40isl,sleeves_h5,set2,48,73.97923054622369,1.0558657106052147,15.100837078574164,0.24317133800589846,12.259476995216211,1251
40isl,rank_weight,set2,48,81.92183090966346,1.1056495784534177,20.933611726781706,0.14462972464924786,7.520418128585638,1251
40isl,banded15,set2,48,53.729469898150775,0.5927689169299554,23.42249527685591,0.35256661242170806,18.606532391639444,1251
40isl,banded25,set2,48,47.636903880106566,0.5749065415331497,18.282292621794287,0.156774787018568,8.408924363912568,1251
40isl,beta_neutral,set2,48,49.14366337861399,0.7154124489436992,20.71987999367574,0.1508413468041211,7.265681124799076,1251
40isl,long_only,set2,48,127.69018771680783,0.9958818574251833,46.078615659722914,0.06529716691790402,3.8130131281454247,1251
40isl,sleeves_reg,set2,49,78.59013190204523,1.2333574861049201,22.467217413706305,0.13094175141446981,6.719869639876299,1251
40isl,sleeves_h5,set2,49,83.40593919095993,1.16351362308996,26.041338314546632,0.24298628596764543,12.532075447954634,1251
40isl,rank_weight,set2,49,87.75047601334198,1.1672087246172893,27.923392438597403,0.14406116306131053,7.630923002167452,1251
40isl,banded15,set2,49,78.33922539774258,0.8288433597374963,19.01138354456396,0.3788045844096285,21.544581097108324,1251
40isl,banded25,set2,49,83.33336382318802,0.9307667416183233,34.68832594547251,0.17432893156919177,10.280663054071253,1251
40isl,beta_neutral,set2,49,65.21568213246921,0.9273633083887272,22.785982583041623,0.15441298117532798,7.6320707650306865,1251
40isl,long_only,set2,49,121.57506266486008,0.934753219309628,47.48206839886072,0.06384387210293262,3.8043967628529356,1251
40isl,sleeves_reg,set2,50,87.76459307281796,1.2578746679781225,25.243091112247317,0.13118087602276887,6.599814499813701,1251
40isl,sleeves_h5,set2,50,90.88043263503086,1.1765823282293586,31.78323837299602,0.252420550678559,12.741970947919167,1251
40isl,rank_weight,set2,50,105.3209434088666,1.3070493974253896,31.28792202779143,0.1438316350055373,7.434262165515215,1251
40isl,banded15,set2,50,65.15033738698338,0.6701160444657766,37.71211808932352,0.39799163368966467,21.247979302797013,1251
40isl,banded25,set2,50,80.8097840269718,0.9323711426776085,37.055789362160375,0.16367214044200207,8.812831210890744,1251
40isl,beta_neutral,set2,50,68.66216214561416,0.9109528766498515,23.342587588629446,0.15398317030414777,7.463398156696943,1251
40isl,long_only,set2,50,122.88360047827214,0.9136456279563769,48.978802529000944,0.06573807431069234,3.84602160046134,1251
40isl,sleeves_reg,set2,51,62.04208429706508,1.1367030242762535,16.12353774179282,0.13995517794158308,7.101492080880706,1251
40isl,sleeves_h5,set2,51,65.1058269739623,1.0445091553370485,18.431761364251546,0.2699023676785358,13.67777303304318,1251
40isl,rank_weight,set2,51,73.12499066666977,1.1126699735936842,23.552220078658344,0.15297337645681755,8.004592501249975,1251
40isl,banded15,set2,51,88.64054895593839,0.976352415747792,24.936157377310025,0.561575351555365,28.72918337437531,1251
40isl,banded25,set2,51,81.30327865377429,0.9796213331954747,29.17483626442076,0.24989354390179905,13.108395136221452,1251
40isl,beta_neutral,set2,51,47.88870762144698,0.8165515850118965,16.130366852281796,0.15846258658651943,7.669482250562891,1251
40isl,long_only,set2,51,99.3644104861027,0.8138874140160672,49.24201059751319,0.06909415993930117,4.293086558716361,1251
40isl,sleeves_reg,set3,42,35.83601592768765,0.4984718041457022,21.85822010019437,0.10224707445466523,4.689503426080016,1250
40isl,sleeves_h5,set3,42,49.48811007768347,0.643655167291245,26.797909307080815,0.1781971363627275,8.211968823874876,1250
40isl,rank_weight,set3,42,42.764597022223796,0.5181230619543451,24.751067505880922,0.11695520623769448,5.496165550296722,1250
40isl,banded15,set3,42,50.57387467527498,0.5753069691909766,41.95890503613082,0.1050788287635594,5.270656086563094,1250
40isl,banded25,set3,42,78.83653069495297,0.8837500329431528,18.573757913889644,0.035190059806964935,1.6282025085952498,1250
40isl,beta_neutral,set3,42,22.38694569991463,0.20279999658287706,32.22439037810041,0.13632209763719286,5.816614885174256,1250
40isl,long_only,set3,42,105.02325591225934,0.8045832987012516,48.280025479300676,0.048637395898816986,2.6681868709017857,1250
40isl,sleeves_reg,set3,43,42.36676680424905,0.598685777941116,25.701579370433258,0.11333698230489413,5.2812360568063434,1250
40isl,sleeves_h5,set3,43,63.607732852166606,0.811622117528623,31.152160178743653,0.2168714096719036,10.20283692113939,1250
40isl,rank_weight,set3,43,53.0492969507834,0.6476999367572324,28.38542345932154,0.12758105784234863,6.106688218258296,1250
40isl,banded15,set3,43,55.10662547448031,0.565975421336771,40.04288612170832,0.2089509415730178,10.662978911141495,1250
40isl,banded25,set3,43,80.39575808236742,0.9426516408119392,21.95078365676045,0.08279995395767692,4.477415544092634,1250
40isl,beta_neutral,set3,43,31.049685803422378,0.29290734422801395,34.02293639910921,0.14762379405807471,6.439195783845673,1250
40isl,long_only,set3,43,95.00673326642296,0.71612094184354,52.31275245989656,0.05642732461268677,3.0678180606431864,1250
40isl,sleeves_reg,set3,44,36.51198404656846,0.5028952873032817,17.022940088992417,0.11099991487295108,5.132786762308024,1250
40isl,sleeves_h5,set3,44,52.74784467058402,0.6544820194338826,19.326543539660083,0.19830880856036534,9.186454102936855,1250
40isl,rank_weight,set3,44,43.491983471925515,0.5255731268512056,20.27453243438732,0.125635054364022,5.995427391077832,1250
40isl,banded15,set3,44,57.82724244250965,0.6095459187520832,24.95091765911113,0.13046829834939944,6.3223798634202515,1250
40isl,banded25,set3,44,46.88712175677562,0.5333106891294359,19.246075592166946,0.05306667260466211,2.576134926120686,1250
