arm,panel,seed,year,n_days,net_pct,sharpe
periodic_lstm_monthly,set3_core7,43,2024,252,0.36245778415829216,0.041737791246549104
periodic_lstm_monthly,set3_core7,44,2020,253,33.31084128070469,1.8218690099450277
periodic_lstm_monthly,set3_core7,44,2021,252,-0.7115004252624294,-0.06145656847136572
periodic_lstm_monthly,set3_core7,44,2022,251,5.491098957794451,0.44924900199222245
periodic_lstm_monthly,set3_core7,44,2023,250,4.719914290839382,0.5204583184933846
periodic_lstm_monthly,set3_core7,44,2024,252,-4.3971181059291435,-0.43042682142060257
periodic_lstm_monthly,set4_core7,42,2020,252,3.3911663758160944,0.2180311661638755
periodic_lstm_monthly,set4_core7,42,2021,252,19.052829153419026,2.281650317776122
periodic_lstm_monthly,set4_core7,42,2022,251,-0.49333248794007845,-0.05215748783492806
periodic_lstm_monthly,set4_core7,42,2023,250,13.741337576298665,1.5989044638224075
periodic_lstm_monthly,set4_core7,42,2024,252,2.5227193781369577,0.35081409375223693
periodic_lstm_monthly,set4_core7,43,2020,252,8.773582335450156,0.5570700427642928
periodic_lstm_monthly,set4_core7,43,2021,252,12.303003128512493,1.382258592137442
periodic_lstm_monthly,set4_core7,43,2022,251,-0.5258668851559212,-0.061066972475700115
periodic_lstm_monthly,set4_core7,43,2023,250,5.648028765358265,0.6182692373364161
periodic_lstm_monthly,set4_core7,43,2024,252,4.064500097015641,0.572265962924947
periodic_lstm_monthly,set4_core7,44,2020,252,17.639220945287526,1.0239398173727314
periodic_lstm_monthly,set4_core7,44,2021,252,12.908269666169165,1.479845724995325
periodic_lstm_monthly,set4_core7,44,2022,251,2.595568863627184,0.2451059705190985
periodic_lstm_monthly,set4_core7,44,2023,250,15.605664757320731,2.1405258484041316
periodic_lstm_monthly,set4_core7,44,2024,252,2.5933843997962835,0.3532894664342237
periodic_lstm_quarterly,set1_core7,42,2020,253,-10.242621708462593,-0.5612632178590928
periodic_lstm_quarterly,set1_core7,42,2021,252,15.656100923035876,1.3937166389594182
periodic_lstm_quarterly,set1_core7,42,2022,251,8.828215381677069,0.7045553986424543
periodic_lstm_quarterly,set1_core7,42,2023,250,-6.234007053530564,-0.588527997958091
periodic_lstm_quarterly,set1_core7,42,2024,252,12.02990506504672,1.1147507884496368
periodic_lstm_quarterly,set1_core7,43,2020,253,-32.3423932092312,-1.395225406176723
periodic_lstm_quarterly,set1_core7,43,2021,252,3.9128064060411765,0.3278548361274723
periodic_lstm_quarterly,set1_core7,43,2022,251,4.39069224348365,0.28705869202238027
periodic_lstm_quarterly,set1_core7,43,2023,250,8.018553209303363,0.7365012447390926
periodic_lstm_quarterly,set1_core7,43,2024,252,10.536333282287211,0.944737325736753
periodic_lstm_quarterly,set1_core7,44,2020,253,1.9848723960356585,0.10045407754375363
periodic_lstm_quarterly,set1_core7,44,2021,252,14.653418422045878,1.3530642522099938
periodic_lstm_quarterly,set1_core7,44,2022,251,-1.12079865677309,-0.08020800664010765
periodic_lstm_quarterly,set1_core7,44,2023,250,1.7722983746004144,0.1444200161454092
periodic_lstm_quarterly,set1_core7,44,2024,252,8.114368836471085,0.7884200526807079
periodic_lstm_quarterly,set2_core7,42,2020,253,10.214718972606326,0.5753036526539345
periodic_lstm_quarterly,set2_core7,42,2021,252,16.577328211826707,2.2799663258783336
