arm,panel,seed,year,n_days,net_pct,sharpe
lstm,set2_core7,44,2018,251,-2.1587443403349065,-0.37298413787034307
lstm,set2_core7,44,2019,252,0.010082412740123996,0.0015035127382315794
lstm,set3_core7,42,2015,252,5.5566618133279375,0.8363472398808668
lstm,set3_core7,42,2016,252,5.241654104235838,0.6418406943956088
lstm,set3_core7,42,2017,251,3.907078668489276,0.5339369177214247
lstm,set3_core7,42,2018,251,-19.18446286987654,-2.5538647901474434
lstm,set3_core7,42,2019,252,10.998757950878115,1.358940776829903
lstm,set3_core7,43,2015,252,5.875588898649291,0.7749703063835038
lstm,set3_core7,43,2016,252,-0.39358087990353957,-0.041999329947207904
lstm,set3_core7,43,2017,251,7.488184058955985,0.9456499258263232
lstm,set3_core7,43,2018,251,5.222562418684787,0.5472824503218823
lstm,set3_core7,43,2019,252,5.068468177488293,0.5063926560368066
lstm,set3_core7,44,2015,252,-7.22123409775554,-0.9831374120536958
lstm,set3_core7,44,2016,252,-6.581206207366256,-0.8264981283212762
lstm,set3_core7,44,2017,251,-0.26207305093645766,-0.034187641143406555
lstm,set3_core7,44,2018,251,-6.166754492674318,-0.6501346460949048
lstm,set3_core7,44,2019,252,3.845593265126807,0.37754715044016524
lstm,set4_core7,42,2015,252,1.500450827093315,0.23020653236037691
lstm,set4_core7,42,2016,252,-16.246838775282786,-1.864048320938201
lstm,set4_core7,42,2017,251,8.442934841144874,0.9824804723378565
lstm,set4_core7,42,2018,251,-11.6905150477699,-1.433972855644751
lstm,set4_core7,42,2019,252,13.341752661257376,1.359857462555762
lstm,set4_core7,43,2015,252,-1.5313771488064059,-0.2320552257702025
lstm,set4_core7,43,2016,252,-14.393842001628046,-1.3843285101541911
lstm,set4_core7,43,2017,251,9.412644628419997,1.3168966398631905
lstm,set4_core7,43,2018,251,-2.9877335477442717,-0.3680506173186459
lstm,set4_core7,43,2019,252,16.183640161233008,1.4252364669977082
lstm,set4_core7,44,2015,252,9.078918064425745,1.3564208494386185
lstm,set4_core7,44,2016,252,-14.872726506052791,-1.338478254394512
lstm,set4_core7,44,2017,251,8.792980451163935,0.9610324868314105
lstm,set4_core7,44,2018,251,-6.154609289487687,-0.6323184139272479
lstm,set4_core7,44,2019,252,4.589305119462713,0.39573272276857735
naive,set1_core7,42,2015,252,-5.515926387918202,-1.0666916296593336
naive,set1_core7,42,2016,252,-5.50195062311713,-1.266245264943849
naive,set1_core7,42,2017,251,-6.043545439280197,-1.5119907942481332
naive,set1_core7,42,2018,251,0.01223701085951382,0.002503478074390294
naive,set1_core7,42,2019,252,0.644159769532868,0.1264614006768456
naive,set2_core7,42,2015,252,-3.7412637995429683,-0.9138159586971026
naive,set2_core7,42,2016,252,-0.0619460555461724,-0.013785835305604606
naive,set2_core7,42,2017,251,-5.781040075046431,-1.6468286364526337
naive,set2_core7,42,2018,251,-10.030985409304515,-2.276778976722855
naive,set2_core7,42,2019,252,-0.8068358706065235,-0.16800978312397993
naive,set3_core7,42,2015,252,-1.330881950027432,-0.2790382161634905
naive,set3_core7,42,2016,252,-5.516487949080882,-1.1730671728254158
naive,set3_core7,42,2017,251,-3.0725867988373414,-0.7983712487000634
naive,set3_core7,42,2018,251,-4.2217928956313315,-0.75749828359981
naive,set3_core7,42,2019,252,0.37988223705470353,0.07361002163684327
naive,set4_core7,42,2015,252,-2.640353909681869,-0.6754584695283232
naive,set4_core7,42,2016,252,0.9299898179316514,0.2001911567342416
naive,set4_core7,42,2017,251,-6.401686076163776,-2.0944174298122182
naive,set4_core7,42,2018,251,-1.0102952457954175,-0.20936043134340207
naive,set4_core7,42,2019,252,-0.5933383229070219,-0.11599598873540941
periodic_lstm_monthly,set1_core7,42,2015,252,-3.3941186380567063,-0.49244175943316115
periodic_lstm_monthly,set1_core7,42,2016,252,6.129004544494056,0.8986297126734087
periodic_lstm_monthly,set1_core7,42,2017,251,1.3084640233830114,0.19921646131086895
periodic_lstm_monthly,set1_core7,42,2018,251,6.637089288173499,0.9993375535023071
periodic_lstm_monthly,set1_core7,42,2019,252,8.621888449101654,1.02867045459673
periodic_lstm_monthly,set1_core7,43,2015,252,-5.270412700567617,-0.8101062625041952
periodic_lstm_monthly,set1_core7,43,2016,252,-6.707726701679105,-0.7786645108539313
periodic_lstm_monthly,set1_core7,43,2017,251,2.414057446366822,0.3642269277790837
periodic_lstm_monthly,set1_core7,43,2018,251,2.5895934555074023,0.35235486655153997
periodic_lstm_monthly,set1_core7,43,2019,252,16.426247380286163,1.8471668411026558
